Student_ID,College_Tier,Department,CGPA,Gender,Attendance_%,Login_Frequency,Time_Spent_Hours,Active_Days,Videos_Watched,Video_Completion_%,Quiz_Score,Doubts_Raised,Doubts_Resolved,Hackathons,Workshops,Placement_Status
1,3,CSE,8.5,Male,85,5,20,4,120,80,75,5,4,2,3,1
2,2,ECE,7.2,Female,65,3,10,3,80,60,55,2,1,1,2,0
3,1,Mechanical,9.1,Male,90,6,25,5,150,90,85,6,5,3,4,1
4,4,Civil,6.5,Female,55,2,8,2,60,50,45,1,0,0,1,0
5,3,CSE,8.9,Female,88,5,22,4,140,85,78,4,3,2,3,1
6,2,ECE,7.5,Male,70,4,15,3,100,70,65,3,2,1,2,1
7,1,Mechanical,5.8,Male,40,1,5,1,30,40,35,0,0,0,0,0
8,4,Civil,6.9,Female,60,3,12,3,75,55,50,2,1,1,1,0
9,3,CSE,9.3,Male,92,6,28,5,160,92,88,7,6,3,5,1
10,2,ECE,8.1,Female,80,4,18,4,110,75,70,4,3,2,2,1
11,1,Mechanical,7.0,Male,65,3,14,3,90,68,60,2,2,1,1,0
12,4,Civil,5.5,Female,50,2,7,2,50,45,40,1,0,0,1,0
13,3,CSE,8.7,Male,87,5,21,4,130,82,76,5,4,2,3,1
14,2,ECE,7.8,Female,75,4,16,3,105,72,68,3,2,1,2,1
15,1,Mechanical,9.5,Female,95,6,30,5,170,95,90,8,7,4,5,1
16,4,Civil,6.2,Male,58,2,9,2,65,52,48,1,1,0,1,0
17,3,CSE,8.2,Female,82,5,19,4,115,78,72,4,3,2,3,1
18,2,ECE,7.1,Male,68,3,13,3,95,65,58,2,2,1,2,0
19,1,Mechanical,5.9,Female,45,1,6,1,40,42,38,0,0,0,0,0
20,4,Civil,6.8,Male,62,3,11,3,85,60,55,2,1,1,1,0
